long,lat,address,year,name,type,street_view
34.04801,-118.23786,100 Alameda St,2005,Savoy Lofts,Residential,https://www.google.com/maps/embed?pb=!4v1524716565800!6m8!1m7!1s8Z7BJkhWlKUwC6Mn9BXRiQ!2m2!1d34.04801377947688!2d-118.2380820712371!3f91.85184!4f0!5f0.7820865974627469
34.04197,-118.23542,451 S Hewitt St,2008,Urth Caffe,Food & Drink,https://www.google.com/maps/embed?pb=!4v1524716803048!6m8!1m7!1sO46I-sHRtdMi2wu9KdLkVg!2m2!1d34.04188707974043!2d-118.2351163875284!3f284.28348!4f0!5f0.7820865974627469
34.04665,-118.23644,629 Traction Ave,2008,Mura Condos,Residential,https://www.google.com/maps/embed?pb=!4v1524716661891!6m8!1m7!1sD_DkP3n1TSZKGK-6iKz1Kw!2m2!1d34.0461903307317!2d-118.2369998008544!3f41.002480729394044!4f9.112383987807704!5f0.7820865974627469
34.04431,-118.23233,300 S Sante Fe Ave,2015,One Santa Fe,Retail & Residential,https://www.google.com/maps/embed?pb=!4v1524716741364!6m8!1m7!1s1z6CaR1Bsx5WRRzcJ7NqHg!2m2!1d34.0443672038223!2d-118.2325979426327!3f50.607943210026704!4f14.868091716041846!5f0.7820865974627469
34.04145,-118.23533,501 S Hewitt St,2015,Arts District Park,Park,https://www.google.com/maps/embed?pb=!4v1524716993467!6m8!1m7!1so4AQB5G00Hf29viw9hrSqA!2m2!1d34.04142814011355!2d-118.2350450968197!3f268.23462!4f0!5f0.7820865974627469
34.04077,-118.23499,525 S Hewitt St,2015,La Kretz Innovation Campus,Office,https://www.google.com/maps/embed?pb=!4v1524722178852!6m8!1m7!1saJkExBofxe2LAOtp8LjDPA!2m2!1d34.04070701403279!2d-118.2349104092843!3f255.78981755982315!4f4.243602771514247!5f0.7820865974627469
34.03999,-118.23334,Mateo & Palmetto,2018,At Mateo,Retail & Office,https://www.google.com/maps/embed?pb=!4v1524716915873!6m8!1m7!1sARNGdzjIi7WZswrz0mSTPw!2m2!1d34.04021780438117!2d-118.2329285242166!3f248.27947072315962!4f7.772948058543804!5f0.7820865974627469
34.04626,-118.23769,216 S Alameda St,2010,Angel City Brewery,Food & Drink,https://www.google.com/maps/embed?pb=!4v1524722624334!6m8!1m7!1sNEIE1ePbFWT9i2Eyf48LUA!2m2!1d34.04683200047243!2d-118.237936793657!3f158.60266593278934!4f2.586810642135859!5f0.7820865974627469
34.04614,-118.23487,901 E 3rd St,2015,Hauser & Wirth,Art Gallery,https://www.google.com/maps/embed?pb=!4v1524722502197!6m8!1m7!1s72V3cVDYBrWnrWSJtsPD3w!2m2!1d34.04598727120874!2d-118.2348703505702!3f356.49589305611255!4f1.5450847748030014!5f0.7820865974627469
34.04176,-118.23488,510 Hewitt St,2014,Barker Block Lofts,Residential,https://www.google.com/maps/embed?pb=!4v1524722724272!6m8!1m7!1sa0H7_x7HKdxFj5ArcKw70w!2m2!1d34.04160867099121!2d-118.2350802153541!3f81.887692169761!4f24.402190664611197!5f0.7820865974627469
34.03554,-118.23261,1850 Industrial St,2006,Biscuit Company Lofts,Residential,https://www.google.com/maps/embed?pb=!4v1524722797618!6m8!1m7!1s0h_9bJhJC50zS6ssL2vFMg!2m2!1d34.03573473716228!2d-118.2326038126805!3f202.22198872540068!4f5.8040448090673635!5f0.7820865974627469
34.03908,-118.23253,582 Mateo St,2014,Blue Bottle Coffee,Food & Drink,https://www.google.com/maps/embed?pb=!4v1524722881975!6m8!1m7!1sHu1KI7amRTnbzzYRRazx-A!2m2!1d34.03921151327643!2d-118.2328183006918!3f85.04575172870496!4f-4.413761666246899!5f0.7820865974627469
34.04822,-118.23381,900 E 1st St,2012,Newberry Lofts,Residential,https://www.google.com/maps/embed?pb=!4v1524722974770!6m8!1m7!1scdiT0bi2iIm1x1Mz3ogwiA!2m2!1d34.04831051429277!2d-118.233893985823!3f120.40482397616988!4f20.638807675307334!5f0.7820865974627469